OSEBuildingID,DataYear,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comment,ComplianceStatus,Outlier,Latitude,Longitude,ZipCode,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUI(kBtu/sf)_diff1516,SiteEUIWN(kBtu/sf)_diff1516,SourceEUI(kBtu/sf)_diff1516,SourceEUIWN(kBtu/sf)_diff1516,SiteEnergyUse(kBtu)_diff1516,SiteEnergyUseWN(kBtu)_diff1516,SteamUse(kBtu)_diff1516,Electricity(kWh)_diff1516,Electricity(kBtu)_diff1516,NaturalGas(therms)_diff1516,NaturalGas(kBtu)_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
73,2015,k-12school,3,1911,1.0,3.0,56072,0,56072,77.0,55.4,72.3,78.7,98.6,3106930.0,4055974.0,0.0,161293.0,550355.0,25566.0,2556597.0,0.0,No,,Compliant,,47.63445532,-122.3080163,98112.0,139.62,2.45,-2.2999984700000056,-5.299999999999997,-10.19999390000001,-13.300000000000011,-129746.0,125190.25,0.0,-59488.0,-203063.0,731.8095699999994,73227.0,2.469999999999999,0.2200000000000002
77,2015,hotel,7,1999,1.0,4.0,122942,44891,78051,94.0,67.6,68.0,135.3,136.5,5276777.0,5306165.0,0.0,703564.0,2400660.0,28762.0,2876216.0,0.0,No,,Compliant,,47.62498256,-122.3445605,98109.0,169.49,1.29,-9.100006100000002,-17.200003100000004,-11.400000000000006,-19.799996900000025,-2702252.0,52928.0,0.0,-74867.5,-255950.0,-24468.0,-2446803.0,-131.73000000000002,-0.3600000000000003
82,2015,small-andmid-sizedoffice,3,1962,1.0,2.0,54984,0,54984,65.0,63.7,71.3,149.8,157.8,3504957.0,3921971.0,0.0,639274.0,2181293.0,13238.0,1323754.0,0.0,No,,Compliant,,47.60841187,-122.3095441,98122.0,85.51,1.38,0.3000060999999903,0.8000060999999903,-2.3000000000000114,-0.6999999999999886,30799.0,587990.0,0.0,-34653.25,-118478.0,1490.6405999999988,149036.0,7.100000000000023,0.33999999999999986
84,2015,seniorcarecommunity,1,1922,1.0,5.0,217603,0,217603,50.0,153.5,170.9,246.4,264.6,45494324.0,50629892.0,0.0,3540510.0,12080722.0,334141.0,33414103.0,0.0,No,,Compliant,,47.55837362,-122.378518,98126.0,1858.84,8.3,-4.299999999999997,-4.000000759999999,-9.900003099999992,-7.300003099999998,-273031.75,-191633.0,0.0,-47774.375,-163128.0,-1099.8798829999996,-110027.0,-6.980000000000004,0.07000000000000006
85,2015,seniorcarecommunity,5,1970,1.0,2.0,93397,0,93397,1.0,175.3,180.8,313.8,320.7,16371764.0,16886622.0,0.0,1699219.0,5797976.0,105740.0,10574028.0,0.0,No,,Compliant,,47.72389349,-122.3562998,98133.0,602.0,6.18,,,,,,,,,,,,,
86,2015,hotel,7,2008,1.0,6.0,84103,20732,63371,68.0,62.8,63.8,164.1,164.0,3979132.0,4045411.0,0.0,872126.0,2975816.0,10034.0,1003439.0,0.0,No,,Compliant,,47.61990903,-122.3320457,98109.0,74.04,0.73,-12.099996950000005,-18.599996950000005,-8.200006099999996,-13.699996900000002,-2167713.0,-2341057.0,0.0,113093.75,385481.0,-25536.296870000006,-2553589.0,-132.94,-0.5099999999999998
87,2015,k-12school,1,1948,1.0,2.0,53352,0,53352,,,,,,,,,,,,,,Yes,Under construction starting 6/2013 (old building demolished) and ending 9/2016. New Building re-opened 9/2016. Year built changed from 1948 to 2016.,Compliant,Low Outlier,47.50935392,-122.3782222,98146.0,,,0.2999969499999935,0.699998469999997,-3.0,-1.7000031000000035,26830.5,18802.5,0.0,-36117.0,-123348.0,1500.1601599999995,150063.0,7.110000000000014,0.25
89,2015,medicaloffice,3,1965,1.0,3.0,179014,0,179014,48.0,105.4,110.9,221.6,224.0,18868768.0,19858448.0,0.0,2784469.0,9501003.0,93682.0,9368159.0,0.0,No,,Compliant,,47.61249662,-122.3213373,98122.0,563.78,2.92,3.0,3.5000030999999865,-3.5000122000000147,1.3999878000000194,232429.0,443683.0,511719.5,-81855.75,-279725.0,0.0,0.0,37.55000000000001,2.7
95,2015,hotel,3,1908,1.0,7.0,76631,0,76631,24.0,94.4,93.9,175.0,173.4,7231928.0,7192445.0,0.0,815936.0,2784090.0,44480.0,4447953.0,0.0,Yes,,Compliant,,47.60895788,-122.3268374,98104.0,255.64,3.18,-0.29999961999999947,-1.9999992399999975,-0.8000007600000032,-2.7000007600000018,-24431.375,168847.75,0.0,-4252.5,-14525.0,-99.5478519999997,-9922.0,-0.6299999999999955,0.020000000000000018
96,2015,mixeduseproperty,3,1983,1.0,6.0,187600,18493,169107,,201.5,203.8,509.3,502.9,15240688.0,15416397.0,4816083.0,3055277.0,10425038.0,0.0,0.0,0.0,No,,Compliant,,47.60831445,-122.3266192,98104.0,444.42,2.13,1.7000000000000028,1.7000015299999944,4.699999999999989,4.599993899999987,495095.0,608411.0,0.0,117358.0,399908.0,946.6103519999997,94667.0,7.819999999999993,0.2
