OSEBuildingID,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuildings,ENERGYSTARScore,SiteEUIkBtusf,SiteEUIWNkBtusf,SourceEUIkBtusf,SourceEUIWNkBtusf,SiteEnergyUsekBtu,SiteEnergyUseWNkBtu,SteamUsekBtu,ElectricitykWh,ElectricitykBtu,NaturalGastherms,NaturalGaskBtu,OtherFuelUsekBtu,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUIkBtusf_diff1516,SiteEUIWNkBtusf_diff1516,SourceEUIkBtusf_diff1516,SourceEUIWNkBtusf_diff1516,SiteEnergyUsekBtu_diff1516,SiteEnergyUseWNkBtu_diff1516,SteamUsekBtu_diff1516,ElectricitykWh_diff1516,ElectricitykBtu_diff1516,NaturalGastherms_diff1516,NaturalGaskBtu_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
507,non-refrigeratedwarehouse,2.0,1999.0,1.0,1.0,243044.0,0.0,243044.0,99.0,9.0,9.0,15.8,15.8,2512319.0,2512319.0,0.0,252569.0,861801.0,16506.0,1650554.0,0.0,nan,93.67,0.37,2.6000007600000004,0.2000007600000017,8.399993899999998,0.6999939000000097,256729.5,256729.5,0.0,74695.125,254663.0,18.48999977,1870.0,1.879999999999996,0.18
508,other,6.0,2001.0,1.0,3.0,280252.0,156312.0,123940.0,,98.4,98.4,309.0,309.0,12196872.0,12196872.0,0.0,3574699.0,12197379.0,0.0,0.0,0.0,nan,85.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43447.5,0.0,0.0,0.0,0.0,0.18
513,small-andmid-sizedoffice,7.0,1952.0,1.0,3.0,66462.0,12998.0,53464.0,,173.0,169.0,543.2,530.7,9109967.0,8901118.0,0.0,2669979.0,9110347.0,0.0,0.0,0.0,nan,63.51,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17092.125,0.0,0.0,0.0,0.0,0.24
514,retailstore,5.0,1997.0,1.0,1.0,131387.0,0.0,131387.0,82.0,67.3,68.0,196.0,194.8,7261732.0,7344347.0,0.0,1897029.0,6472932.0,7891.0,789069.0,0.0,nan,87.03,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-264238.5,0.0,-37.8959960000002,0.0,0.0,0.16
515,non-refrigeratedwarehouse,5.0,1999.0,1.0,3.0,94400.0,0.0,94400.0,34.0,13.2,13.6,35.6,36.1,884314.0,911789.0,0.0,205309.0,700543.0,1838.0,183800.0,0.0,nan,14.65,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-483374.0,0.0,-276.2202150000003,0.0,0.0,0.1199999999999999
516,other,5.0,1964.0,1.0,1.0,111900.0,0.0,111900.0,,93.1,94.7,241.3,243.0,11564788.0,11763815.0,0.0,2501656.0,8536005.0,30291.0,3029138.0,0.0,nan,220.38,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136224.0,463365.0,-7217.400391,0.0,0.0,0.0
517,other,5.0,1984.0,1.0,1.0,144776.0,0.0,144776.0,57.0,90.8,92.2,241.7,242.1,13146645.0,13355228.0,0.0,2971352.0,10138674.0,30084.0,3008393.0,0.0,nan,230.45,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45344.5,0.0,0.0,0.0,0.0,0.09
518,retailstore,5.0,1967.0,1.0,1.0,114000.0,0.0,114000.0,96.0,100.9,100.9,219.5,219.5,11511880.0,11511880.0,0.0,1817361.0,6201093.0,53110.0,5311044.0,0.0,nan,325.3,2.62,1.7999996199999997,1.4999992399999975,5.000000759999999,4.800000760000003,156332.375,195503.375,0.0,40546.1875,138295.0,180.23999000000003,17990.0,1.9200000000000017,0.07
519,supermarket/grocerystore,5.0,1997.0,1.0,1.0,50083.0,0.0,50083.0,78.0,172.0,176.0,454.5,458.7,8611054.0,8812398.0,0.0,1923023.0,6561627.0,20497.0,2049700.0,0.0,nan,154.6,2.52,1.1999996199999998,4.099999239999999,0.0,2.9999984700000013,57486.0,203109.5,0.0,-8695.703100000013,0.0,872.0,87156.0,4.419999999999998,0.13
520,largeoffice,6.0,1988.0,1.0,3.0,124071.0,0.0,124071.0,77.0,49.1,51.5,154.0,161.7,4734631.0,4971330.0,0.0,1387559.0,4734548.0,3.0,279.0,0.0,nan,33.02,0.1,0.0,0.0,0.0,0.0,0.0,288359.0,0.0,-11813.1875,0.0,312.47070000000167,31277.0,1.3799999999999957,0.1500000000000001
521,small-andmid-sizedoffice,6.0,2000.0,1.0,4.0,90000.0,36528.0,53472.0,82.0,45.0,46.2,141.2,144.9,4045980.0,4154068.0,0.0,1185809.0,4046148.0,0.0,0.0,0.0,nan,28.21,0.12,0.6999999049999999,1.4000001909999995,0.4999999050000001,1.3000000950000006,44045.70310000001,89392.6875,0.0,-1689.0996100000011,0.0,498.580078,49810.0,2.6100000000000003,0.05
522,small-andmid-sizedoffice,6.0,2001.0,1.0,3.0,96041.0,33709.0,62332.0,69.0,87.9,87.9,276.1,276.1,5471735.0,5471735.0,0.0,1603674.0,5471963.0,0.0,0.0,0.0,nan,38.15,0.15,1.2999968999999965,0.0,1.9999939000000493,0.0,167380.0,710342.0,0.0,11080.25,37363.0,1295.3789099999997,129574.0,7.150000000000034,0.1599999999999999
523,largeoffice,6.0,1999.0,1.0,3.0,280957.0,114829.0,166128.0,94.0,74.1,74.1,228.5,228.5,12229610.0,12229610.0,0.0,3484213.0,11888628.0,3404.0,340435.0,547.0,nan,100.96,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11731.0,0.0,0.0,0.0,0.0,0.01
524,largeoffice,6.0,1999.0,1.0,4.0,243334.0,103032.0,140302.0,76.0,74.3,74.3,224.9,224.9,10328702.0,10328702.0,0.0,2862230.0,9766334.0,5628.0,562773.0,0.0,nan,97.97,0.23,0.1000003800000008,0.9000001900000001,0.0,0.0,5551.0,136516.5,0.0,-9181.0,0.0,368.99975600000016,36875.0,1.7399999999999984,0.0499999999999999
525,mixeduseproperty,7.0,1991.0,1.0,6.0,154660.0,0.0,154660.0,,221.1,225.0,529.2,533.9,55947848.0,56927008.0,20278584.0,10103170.0,34473447.0,11973.0,1197256.0,0.0,nan,1869.17,11.13,0.8000003800000002,2.7000003800000005,1.3000007600000032,2.9999996200000005,78755.875,265697.375,0.0,5867.703099999999,20002.0,587.3803710000002,58737.0,3.259999999999998,0.0499999999999999
526,largeoffice,2.0,1982.0,1.0,5.0,390295.0,121375.0,268920.0,95.0,32.3,32.3,101.3,101.3,7838600.0,7838600.0,0.0,2297362.0,7838925.0,0.0,0.0,0.0,nan,54.65,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126739.5,0.0,0.0,0.0,0.0,0.1699999999999999
527,non-refrigeratedwarehouse,2.0,1967.0,1.0,2.0,90000.0,0.0,90000.0,89.0,14.1,14.8,41.2,41.9,1272814.0,1335590.0,0.0,332526.0,1134627.0,1382.0,138234.0,0.0,nan,15.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26245.398440000004,0.0,0.0,0.0,0.0,0.0099999999999999
528,other,2.0,1966.0,1.0,1.0,50200.0,0.0,50200.0,,19.7,19.7,43.1,43.1,989975.0,989975.0,0.0,157424.0,537154.0,4528.0,452844.0,0.0,nan,27.8,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7516.5,0.0,0.0,0.0,0.0,0.0699999999999999
529,small-andmid-sizedoffice,6.0,1925.0,1.0,6.0,94033.0,6200.0,87833.0,,56.7,62.6,132.0,137.8,4767227.0,5258135.0,0.0,853270.0,2911478.0,18559.0,1855870.0,0.0,nan,118.86,1.13,24.20000153,31.3,32.50000153,39.90000305,3007745.0,3888865.5,0.0,123203.8125,420343.0,25874.04688,2587373.0,140.35000000000002,1.16
530,non-refrigeratedwarehouse,6.0,1941.0,1.0,2.0,63240.0,0.0,63240.0,100.0,2.9,2.9,6.1,6.1,183521.0,183521.0,0.0,26721.0,91177.0,923.0,92348.0,0.0,nan,5.54,0.08,1.2000003800000023,5.699998470000004,1.4999969499999963,6.200001529999994,63975.25,285965.375,0.0,639.0938000000024,2147.0,617.4897460000002,61793.0,3.299999999999997,0.14
532,other,6.0,2008.0,1.0,5.0,322869.0,182454.0,140415.0,,129.4,138.6,306.4,316.1,16917964.0,18119420.0,0.0,3127286.0,10670743.0,62477.0,6247664.0,0.0,nan,406.2,1.12,12.200001529999994,16.099999239999995,5.499996949999996,9.700001529999994,703708.0,929295.75,0.0,-58486.5,0.0,9033.05957,903263.0,46.580000000000005,0.9200000000000002
533,self-storagefacility,7.0,1988.0,1.0,4.0,130293.0,23400.0,106893.0,,3.9,3.9,12.2,12.2,505559.0,505559.0,0.0,148171.0,505580.0,0.0,0.0,0.0,nan,3.52,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16467.593700000027,0.0,0.0,0.0,0.0,0.08
534,non-refrigeratedwarehouse,7.0,1997.0,1.0,4.0,106041.0,0.0,106041.0,93.0,10.5,10.9,26.3,27.4,1118392.0,1156549.0,0.0,225870.0,770699.0,3477.0,347725.0,0.0,nan,23.84,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3889.5936999999976,0.0,0.0,0.0,0.0,0.03
536,self-storagefacility,7.0,1956.0,1.0,3.0,94470.0,0.0,94470.0,,9.8,9.9,19.4,19.9,922041.0,936488.0,0.0,120996.0,412857.0,5092.0,509201.0,0.0,nan,29.92,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22603.0,0.0,-3253.859863,0.0,0.0,0.0
538,largeoffice,2.0,2002.0,1.0,10.0,181694.0,38186.0,143508.0,86.0,51.9,51.9,162.9,162.9,8070420.0,8070420.0,0.0,2365305.0,8070756.0,0.0,0.0,0.0,nan,56.26,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89781.625,0.0,-2276.829834,0.0,0.0,0.0
539,retailstore,4.0,1987.0,1.0,2.0,69492.0,0.0,69492.0,100.0,5.9,5.9,18.4,18.4,408513.0,408513.0,0.0,119728.0,408530.0,0.0,0.0,0.0,low outlier,2.85,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3270.0,0.0,-36.00006099999996,0.0,0.0,0.01
540,non-refrigeratedwarehouse,2.0,1966.0,1.0,1.0,22780.0,0.0,22780.0,30.0,18.8,18.8,59.0,59.0,427697.0,427697.0,0.0,125351.0,427715.0,0.0,0.0,0.0,nan,2.98,0.05,0.9000030500000022,2.5000015299999987,0.7999968999999965,2.4999938999999927,48588.5,139378.5,0.0,-1137.125,0.0,524.3698730000001,52468.0,2.759999999999998,0.2299999999999999
543,distributioncenter,2.0,1967.0,1.0,1.0,124472.0,0.0,124472.0,92.0,19.7,19.7,32.9,32.9,2457017.0,2457017.0,0.0,212657.0,725614.0,17314.0,1731432.0,0.0,nan,97.01,0.75,4.499998470000001,1.699998470000004,9.099999999999994,5.0,112128.0,848870.0,0.0,-28930.25,0.0,2108.2714799999994,210839.0,10.509999999999993,0.24
544,distributioncenter,2.0,1967.0,1.0,1.0,50065.0,0.0,50065.0,71.0,29.4,29.4,65.7,65.7,1465535.0,1465535.0,0.0,244455.0,834114.0,6315.0,631456.0,0.0,nan,39.35,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-525724.0,0.0,-232.2299957,0.0,0.0,0.87
545,distributioncenter,2.0,1969.0,1.0,1.0,57540.0,0.0,57540.0,29.0,32.7,32.7,89.2,89.2,1878979.0,1878979.0,0.0,442713.0,1510598.0,3684.0,368443.0,0.0,nan,30.1,0.41,0.0,1.8000007600000032,0.0,0.0999992399999953,68720.25,238383.75,0.0,4116.5,14023.0,546.8603519999997,54676.0,3.000000000000004,0.0999999999999999
546,non-refrigeratedwarehouse,2.0,1966.0,1.0,1.0,85400.0,0.0,85400.0,47.0,18.7,18.7,58.6,58.6,1593187.0,1593187.0,0.0,466936.0,1593253.0,0.0,0.0,0.0,nan,11.11,0.05,0.0,0.0,0.0,0.0,0.0,12136.0,0.0,-49919.625,0.0,300.3242190000001,30068.0,0.4099999999999966,0.3400000000000001
